USI Project Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Boiler Plate - USI data,,,,,,,,,,,Location Data,,Team Data,,,,,Approvals Overview,,,,,,,,Approvals Details,,,,,,
Job Number,In Toronto? ,Name,client,Client Type,Centroid Coordinates,Longitude,Latitude,address,Project Type,Project Focus,Municipality/Jurisdiction,Ward (Toronto),USI Team Members,Principal in Charge,Project Manager,Project Start Date,Project End Date,Complete/Approval Year,Approval type(s),Approval Status,Residential Units,Affordable Units (%),Affordable Units,Max. Non-Residential GFA,Min. Non-Residential GFA,Density,Height (m),Height (st),Site Area (m2),By-Law  Number,Most Recent Report,NOTES
17021,TRUE,Canada Square,Oxford Properties Group,Real Estate Developers,"(-79.3984815, 43.7060136)",43.7060136,-79.3984815,"2200 Yonge Street, Toronto, Ontario","Master Planning,  Development Approvals, Engagement",Residential,Toronto ,12,"Christine Fang-Denissov, Craig Lametti",Christine Fang Denissov,Sara Eng?,,,,,,,,,,,,,,,N/A,Agenda Item History - 2022.PH35.10,no approval reports for the ZBA or OPA (only a preliminary and supplementary report -- how is this not available in city archives ? can't find any relevant information because there is no finalized report with all of the details
20079,TRUE,Under Concord,Concord Adex,Real Estate Developers,"(-79.3978928, 43.6374145)",43.6374145,-79.3978928,"38 Dan Leckie Way, Toronto, Ontario","Development Approvals, Planning Analysis, OLT Appeal, Urban Design Guidelines",Commercial,Toronto ,10,Emily Reisman,,,,,,,,,,,,,,,,,N/A,Under Concord - Urban Strategies,"still no approval reports from ZBA that was sent in for this project -- can only find projects by the Bentway, but they also don't have any approval reports or anything. Maybe I just need an address that this was filed under at the time? or at least the year the report was discussed."
18088,TRUE,Queen Ashbridge/Don Summerville Revitalization,Context Development Inc.,Real Estate Developers,"(-79.3168033, 43.6656687)",43.6656687,-79.3168033,"1070 Eastern Avenue, Toronto, Ontario","Master Planning, Approvals,  Urban Design",Residential,Toronto ,14,"Benjamin Hoff, Yasmin Afshar",,,,,2020,"OPA, ZBA, Rental Housing Demolition",Complete,766,,220,N/A,N/A,4.41,8.8-10,"10, 17",13422,"OP (830-2020), ZBA (831-2020), ZBA (832-2020), ZBA (76-2023), ZBA (77-2023), 833-2020","1555-1575 Queen Street East – Official Plan and Zoning Amendment, Part Lot Control, and Rental Housing Demolition and Conversion – Final Report","location of report is right next to the address, not sure if this is the correct report but there are no other reports anyways on this site"
18088,TRUE,Queen Ashbridge/Don Summerville Revitalization,Context Development Inc.,Real Estate Developers,"(-79.3184975, 43.6654821)",43.6654821,-79.3184975,1555 Queen Street East,"Master Planning, Approvals,  Urban Design",Residential,Toronto ,14,"Benjamin Hoff, Yasmin Afshar",,,,,2020,"OPA, ZBA, Rental Housing Demolition",Complete,766,,220,N/A,N/A,4.41,8.8-10,"10, 17",13422,"OP (830-2020), ZBA (831-2020), ZBA (832-2020), ZBA (76-2023), ZBA (77-2023), 833-2020","1555-1575 Queen Street East – Official Plan and Zoning Amendment, Part Lot Control, and Rental Housing Demolition and Conversion – Final Report","location of report is right next to the address, not sure if this is the correct report but there are no other reports anyways on this site"
18088,TRUE,Queen Ashbridge/Don Summerville Revitalization,Context Development Inc.,Real Estate Developers,"(-79.3178525, 43.6656125)",43.6656125,-79.3178525,1575 Queen Street East,"Master Planning, Approvals,  Urban Design",Residential,Toronto ,14,"Benjamin Hoff, Yasmin Afshar",,,,,2020,"OPA, ZBA, Rental Housing Demolition",Complete,766,,220,N/A,N/A,4.41,8.8-10,"10, 17",13422,"OP (830-2020), ZBA (831-2020), ZBA (832-2020), ZBA (76-2023), ZBA (77-2023), 833-2020","1555-1575 Queen Street East – Official Plan and Zoning Amendment, Part Lot Control, and Rental Housing Demolition and Conversion – Final Report","location of report is right next to the address, not sure if this is the correct report but there are no other reports anyways on this site"
16085,TRUE,Scarborough Town Centre Master Plan,Oxford Properties Group,Real Estate Developers,"(-79.2570532, 43.7785696)",43.7785696,-79.2570532,"300 Borough Drive, Scarborough, Ontario","Master Planning, Approvals",Commercial,Toronto,21,"Harshitha Damodaran, Samantha Anderson",Craig Lametti,Samantha Anderson,,,2024,OPA ,Complete,15500,N/A,N/A,N/A,N/A,3.6,N/A,65,370004,OP (744-2024),OLT OPA Approval Report,no approval reports for this project only a request for directions from ontario land tribunal in 2024 -- not sure where this has gone ever since
18033,TRUE,Dufferin Mall Redevelopment ,Primaris Management Inc.,Real Estate Developers,"(-79.4349648, 43.6580205)",43.6580205,-79.4349648,"900 Dufferin Street, Toronto, Ontario","Master Planning, Approvals, Engagement",Commercial/Residential,Toronto ,9,"Eric Turcotte, Sirous Ghanbarzadeh, James DiPaolo, Aya Almaddah, Mihaly Szabo",,,,,2021,OPA and ZBA Request for Directions ,Request for Direction,,,,,,6.54,"86.8, 133.4 and 121.1","23, 39 and 35",15612,N/A,900 Dufferin Street - Official Plan Amendment and Zoning By-law Amendment Application - Request for Directions Report,no approval report but they have an amended request for directions whatever that means -- follow up on progress or if the reported information is finalized
17132,TRUE,2200 Eglinton Avenue East,"Dream Asset Management, Dundeal Canada (GP) Inc.",Real Estate Developers,"(-79.2808675, 43.7298366)",43.7298366,-79.2808675,"2200 Eglinton Avenue East, Toronto Ontario","Master Planning, Approvals",Commercial/Residential,Toronto ,21,"Benjamin Hoff, Inger Squires, Peter Pantalone",Benjamin Hoff,Peter Pantalone,,,2022,OPA and ZBA Request for Directions ,Request for Direction,,,,,,,,,,N/A,"2200 to 2206 Eglinton Avenue East, 1020 to 1030 Birchmount Road and 75 Thermos Road - Official Plan Amendment and Zoning By-law Amendment - Request for Directions","no approval, only preliminary report and request for directions and ontario land tribunal report -- still don't know how this is going"
17067,TRUE,SickKids Patient Support Centre,SickKids,Hospital/Medical Facility ,"(-79.3857651, 43.6575252)",43.6575252,-79.3857651,"175 Elizabeth Street, Toronto, Ontario","Master Planning, Approvals",Healthcare,Toronto ,11,"Eric Turcotte, Josh Kohler, Sirous Ghanbarzadeh, Mihaly Szabo",Eric Turcotte,Josh Kohler,,,2018,OPA and ZBA,Complete,N/A,N/A,N/A,46750,N/A,19.6,98.66,22,2293,"ZBA (1302-2018, 1303-2018), OPA (1329-2018)",175 Elizabeth Street - Official Plan and Zoning By-law Amendment Applications – Final Report,nothing extra needed
16034,TRUE,670-690 Progress Avenue (Fieldgate Consilium),Fieldgate Urban,Real Estate Developers,"(-79.2499983, 43.7774148)",43.7774148,-79.2499983,670 Progress Avenue,Development Approvals,Residential/Mixed Use,Toronto,24,"Cyndi Rottenberg-Walker, James DiPaolo",Cyndi Rottenberg-Walker,James Di Paolo,,,2025,OPA and ZBA under review ,Pending,3203,N/A,N/A,N/A,"1,57",5.57,"124.95, 60.1, 111.65, 122.5, 163.3, 59.65, 133.35","40, 18, 37, 39, 54, 18, 43",N/A,OLT-22-003924,670-690 Progress Avenue Report,OLT approved amendments but by-law # N/A
16034,TRUE,670-690 Progress Avenue (Fieldgate Consilium),Fieldgate Urban,Real Estate Developers,"(-79.2487831, 43.7781023)",43.7781023,-79.2487831,690 Progress Avenue,Development Approvals,Residential/Mixed Use,Toronto,24,"Cyndi Rottenberg-Walker, James DiPaolo",Cyndi Rottenberg-Walker,James Di Paolo,,,2025,OPA and ZBA under review ,Pending,3203,N/A,N/A,N/A,"1,57",5.57,"124.95, 60.1, 111.65, 122.5, 163.3, 59.65, 133.35","40, 18, 37, 39, 54, 18, 43",N/A,OLT-22-003924,OLT Approval Decision - 670-690 Progress Ave - fieldgateurban,OLT approved amendments but by-law # N/A
